name,value,carbon_date,ranking,region,"('name', 'region')"
China,"10,773,248,000.0",2019,1,East and Southeast Asia,China
UnitedStates,"5,144,361,000.0",2019,2,North America,UnitedStates
India,"2,314,738,000.0",2019,3,South Asia,India
Russia,"1,848,070,000.0",2019,4,Central Asia,Russia
Japan,"1,103,234,000.0",2019,5,East and Southeast Asia,Japan
Germany,"726,881,000.0",2019,6,Europe,Germany
"Korea,South","686,954,000.0",2019,7,East and Southeast Asia,"Korea,South"
Iran,"646,038,000.0",2019,8,Middle East,Iran
Canada,"612,084,000.0",2019,9,North America,Canada
SaudiArabia,"579,925,000.0",2019,10,Middle East,SaudiArabia
Indonesia,"563,543,000.0",2019,11,East and Southeast Asia,Indonesia
SouthAfrica,"470,358,000.0",2019,12,Africa,SouthAfrica
Mexico,"463,739,000.0",2019,13,North America,Mexico
Brazil,"456,670,000.0",2019,14,South America,Brazil
Australia,"417,870,000.0",2019,15,Australia and Oceania,Australia
UnitedKingdom,"398,084,000.0",2019,16,Europe,UnitedKingdom
Turkey(Turkiye),"391,792,000.0",2019,17,Middle East,Turkey(Turkiye)
France,"338,425,000.0",2019,18,Europe,France
Italy,"332,041,000.0",2019,19,Europe,Italy
Thailand,"305,273,000.0",2019,20,East and Southeast Asia,Thailand
Poland,"304,040,000.0",2019,21,Europe,Poland
Spain,"280,624,000.0",2019,22,Europe,Spain
Taiwan,"279,206,000.0",2019,23,East and Southeast Asia,Taiwan
UnitedArabEmirates,"276,236,000.0",2019,24,Middle East,UnitedArabEmirates
Kazakhstan,"263,689,000.0",2019,25,Central Asia,Kazakhstan
Malaysia,"254,764,000.0",2019,26,East and Southeast Asia,Malaysia
Vietnam,"249,929,000.0",2019,27,East and Southeast Asia,Vietnam
Singapore,"238,983,000.0",2019,28,East and Southeast Asia,Singapore
Egypt,"235,137,000.0",2019,29,Africa,Egypt
Netherlands,"214,416,000.0",2019,30,Europe,Netherlands
Pakistan,"193,869,000.0",2019,31,South Asia,Pakistan
Argentina,"193,205,000.0",2019,32,South America,Argentina
Ukraine,"185,686,000.0",2019,33,Europe,Ukraine
Algeria,"151,633,000.0",2019,34,Africa,Algeria
Iraq,"143,479,000.0",2019,35,Middle East,Iraq
Philippines,"142,282,000.0",2019,36,East and Southeast Asia,Philippines
Belgium,"128,247,000.0",2019,37,Europe,Belgium
Qatar,"111,922,000.0",2019,38,Middle East,Qatar
Turkmenistan,"109,037,000.0",2019,39,Central Asia,Turkmenistan
Nigeria,"104,494,000.0",2019,40,Africa,Nigeria
Venezuela,"103,708,000.0",2019,41,South America,Venezuela
Uzbekistan,"102,965,000.0",2019,42,Central Asia,Uzbekistan
Czechia,"99,533,000.0",2019,43,Europe,Czechia
